Name,City,Country,Domes,Status,EPN Inclusion,Station Log,Station Owner,TectonicPlate,Latitude,Longitude,Elevation,X,Y,Z,IGS,EPOS,ITRF2014,IGS14,ITRF2020,IGS20,Tipo,Carpeta
TORI00ITA,Torino,ITA,12724M002,included,1999-01-31,tori00ita_20240318.log,POLITO,EURASIAN,45.0634,7.6613,310.7,4472544.44,601634.23,4492545.11,,,ITRF2014,,,,S,EUREF
TORN00FIN,Tornio,FIN,10530M001,included,2018-10-28,torn00fin_20250612.log,FGI,EURASIAN,66.0776,24.332,70.7,2363238.07,1068632.51,5807526.19,,included,,,,,R,EUREF
TRDS00NOR,Trondheim,NOR,10331M001,included,2000-12-10,trds00nor_20241018.log,NMA,EURASIAN,63.3714,10.3192,317.7,2820171.11,513485.91,5678935.75,,included,ITRF2014,,ITRF2020,,S,EUREF
TUO200FIN,Kaarina,FIN,10521M002,included,2018-10-28,tuo200fin_20250307.log,FGI,EURASIAN,60.4158,22.4433,59.4,2917812.77,1205216.52,5523549.06,,included,,,,,R,EUREF
USAL00ITA,Lecce,ITA,19527M001,included,2010-06-13,usal00ita_20240718.log,ASI,EURASIAN,40.3349,18.1115,66.6,4627539.84,1513540.02,4106446.89,,included,,,ITRF2020,,S,EUREF
VAA200FIN,Vaasa,FIN,10511M002,included,2017-04-02,vaa200fin_20250410.log,FGI,EURASIAN,62.9612,21.7706,58.4,2699867.81,1078261.64,5658064.0,,included,,,,,R,EUREF
VALA00ESP,Valladolid,ESP,13463M002,included,2008-04-20,vala00esp_20240229.log,ITACYL,EURASIAN,41.7025,-4.7083,765.9,4753521.68,-391505.62,4221500.53,,included,,,,,S,EUREF
VALE00ESP,Valencia,ESP,13439M001,included,2001-02-11,vale00esp_20241008.log,IGE,EURASIAN,39.4808,-0.3377,77.6,4929534.04,-29050.67,4033709.91,,included,ITRF2014,,ITRF2020,,S,EUREF
VARS00NOR,Vardoe,NOR,10322M002,included,2000-12-10,vars00nor_20241018.log,NMA,EURASIAN,70.3364,31.0312,174.8,1844607.62,1109719.11,5983936.01,,included,ITRF2014,,ITRF2020,,S,EUREF
VEN100ITA,Venezia,ITA,19513M001,included,2009-12-13,ven100ita_20240718.log,ASI,EURASIAN,45.4306,12.3541,58.9,4379845.49,959292.11,4521099.33,,included,ITRF2014,,ITRF2020,,S,EUREF
VFCH00FRA,Villefranche-sur-Cher,FRA,10046M001,included,2005-07-03,vfch00fra_20240716.log,IGN_RGP,EURASIAN,47.2942,1.7197,154.6,4331863.6,130055.2,4664122.6,,included,,,ITRF2020,,S,EUREF
VIGO00ESP,Vigo,ESP,13450M001,included,2005-11-13,vigo00esp_20230913.log,IGE,EURASIAN,42.184,-8.8131,87.8,4677481.06,-725205.07,4260827.17,,included,ITRF2014,,ITRF2020,,S,EUREF
VIR200FIN,Virolahti,FIN,10522M002,included,2017-03-19,vir200fin_20250307.log,FGI,EURASIAN,60.5388,27.5549,37.0,2788251.1,1454871.44,5530279.28,,included,,,,,R,EUREF
VIS000SWE,Visby,SWE,10423M001,included,1996-11-03,vis000swe_20250326.log,LMV,EURASIAN,57.6539,18.3673,79.8,3246470.56,1077900.31,5365277.9,included,included,ITRF2014,,ITRF2020,IGS20,S,IGS
VLIS00NLD,Vlissingen,NLD,13538M001,included,2016-05-15,vlis00nld_20240319.log,KAD,EURASIAN,51.4429,3.5973,54.4,3975805.22,249950.08,4964446.09,,included,ITRF2014,,ITRF2020,,R,EUREF
WARE00BEL,Waremme,BEL,13114M001,included,1996-01-14,ware00bel_20230310.log,ROB,EURASIAN,50.6899,5.2453,187.9,4031947.31,370150.91,4911905.9,,included,,,ITRF2020,,S,EUREF
WARN00DEU,Rostock-Warnemuende,DEU,14277M002,included,2003-10-26,warn00deu_20250623.log,BKG,EURASIAN,54.1698,12.1014,50.7,3658785.6,784471.1,5147870.7,included,included,ITRF2014,,ITRF2020,IGS20,S,IGS
WROC00POL,Wroclaw,POL,12217M001,included,1996-11-24,wroc00pol_20240812.log,IGG WUELS,EURASIAN,51.1133,17.062,180.3,3835751.0,1177249.0,4941605.0,included,included,ITRF2014,,ITRF2020,,R,IGS
WSRT00NLD,Westerbork,NLD,13506M005,included,1997-07-20,wsrt00nld_20231207.log,DUT,EURASIAN,52.9146,6.6045,86.0,3828739.0,443305.0,5064887.0,included,included,ITRF2014,IGS14,ITRF2020,IGS20,R,IGS
ZARA00ESP,Zaragoza,ESP,13462M001,included,2006-06-25,zara00esp_20230913.log,IGE,EURASIAN,41.6334,-0.8822,296.1,4773803.3,-73506.2,4215453.9,,included,,,ITRF2020,,S,EUREF
ZIM200CHE,Zimmerwald,CHE,14001M008,included,2007-12-16,zim200che_20250724.log,LPT,EURASIAN,46.8771,7.465,956.5,4331300.16,567537.08,4633133.51,included,,ITRF2014,IGS14,ITRF2020,IGS20,S,IGS
